2020-11-26 17:24:13,517 - INFO - Starting Training
2020-11-26 17:24:18,315 - INFO - Loaded dataset from: train_dataset_25Nov_source_distilbert.pickle
2020-11-26 17:24:18,321 - INFO - Number of records: 10986
2020-11-26 17:24:18,322 - INFO - Loading model: distilbert-base-uncased
2020-11-26 17:24:23,761 - INFO - Moving model to device
2020-11-26 17:24:23,762 - INFO - Device: cuda
2020-11-26 17:25:05,239 - INFO - Learning Rate: 5e-05
2020-11-26 17:25:05,240 - INFO - Commencing Training
2020-11-26 17:25:05,240 - INFO - Batches per Epoch: 343.3125
2020-11-26 17:25:05,240 - INFO - Total GPU memory available (MiB): 16.274294360343184
2020-11-26 17:25:05,240 - INFO - Cross Entropy Loss Weights: None
2020-11-26 17:25:05,240 - INFO - Starting Epoch 1, logging every 10 batches
2020-11-26 17:25:17,494 - INFO - Epoch: 1, Batch: 10, loss: 0.03655143454670906
2020-11-26 17:25:25,860 - INFO - Epoch: 1, Batch: 20, loss: 0.03154190257191658
2020-11-26 17:25:34,226 - INFO - Epoch: 1, Batch: 30, loss: 0.12246982008218765
2020-11-26 17:25:42,588 - INFO - Epoch: 1, Batch: 40, loss: 0.14297696948051453
2020-11-26 17:25:50,958 - INFO - Epoch: 1, Batch: 50, loss: 0.06456980854272842
2020-11-26 17:25:59,331 - INFO - Epoch: 1, Batch: 60, loss: 0.023836955428123474
2020-11-26 17:26:07,693 - INFO - Epoch: 1, Batch: 70, loss: 0.02843506634235382
2020-11-26 17:26:16,050 - INFO - Epoch: 1, Batch: 80, loss: 0.08622931689023972
2020-11-26 17:26:24,438 - INFO - Epoch: 1, Batch: 90, loss: 0.11111529171466827
2020-11-26 17:26:32,819 - INFO - Epoch: 1, Batch: 100, loss: 0.05282358080148697
2020-11-26 17:26:41,190 - INFO - Epoch: 1, Batch: 110, loss: 0.08833441883325577
2020-11-26 17:26:49,546 - INFO - Epoch: 1, Batch: 120, loss: 0.05996185541152954
2020-11-26 17:26:57,909 - INFO - Epoch: 1, Batch: 130, loss: 0.023180192336440086
2020-11-26 17:27:06,273 - INFO - Epoch: 1, Batch: 140, loss: 0.08272408694028854
2020-11-26 17:27:14,635 - INFO - Epoch: 1, Batch: 150, loss: 0.008133117109537125
2020-11-26 17:27:23,001 - INFO - Epoch: 1, Batch: 160, loss: 0.10667101293802261
2020-11-26 17:27:31,365 - INFO - Epoch: 1, Batch: 170, loss: 0.013590753078460693
2020-11-26 17:27:39,725 - INFO - Epoch: 1, Batch: 180, loss: 0.0382254533469677
2020-11-26 17:27:48,098 - INFO - Epoch: 1, Batch: 190, loss: 0.024649636819958687
2020-11-26 17:27:56,462 - INFO - Epoch: 1, Batch: 200, loss: 0.020521899685263634
2020-11-26 17:28:04,838 - INFO - Epoch: 1, Batch: 210, loss: 0.06680455803871155
2020-11-26 17:28:13,199 - INFO - Epoch: 1, Batch: 220, loss: 0.004625651519745588
2020-11-26 17:28:21,564 - INFO - Epoch: 1, Batch: 230, loss: 0.05783567205071449
2020-11-26 17:28:29,927 - INFO - Epoch: 1, Batch: 240, loss: 0.006618048995733261
2020-11-26 17:28:38,304 - INFO - Epoch: 1, Batch: 250, loss: 0.004215008579194546
2020-11-26 17:28:46,670 - INFO - Epoch: 1, Batch: 260, loss: 0.07883814722299576
2020-11-26 17:28:55,030 - INFO - Epoch: 1, Batch: 270, loss: 0.03881290182471275
2020-11-26 17:29:03,385 - INFO - Epoch: 1, Batch: 280, loss: 0.048150572925806046
2020-11-26 17:29:11,757 - INFO - Epoch: 1, Batch: 290, loss: 0.021807363256812096
2020-11-26 17:29:20,129 - INFO - Epoch: 1, Batch: 300, loss: 0.0160673875361681
2020-11-26 17:29:28,489 - INFO - Epoch: 1, Batch: 310, loss: 0.004728993866592646
2020-11-26 17:29:36,853 - INFO - Epoch: 1, Batch: 320, loss: 0.010360882617533207
2020-11-26 17:29:45,231 - INFO - Epoch: 1, Batch: 330, loss: 0.19700217247009277
2020-11-26 17:29:53,603 - INFO - Epoch: 1, Batch: 340, loss: 0.007037155330181122
2020-11-26 17:29:56,407 - INFO - Completed 1 epochs.
2020-11-26 17:29:58,144 - INFO - Saved model in file saved_model_epoch1_20201126_1725.tar
2020-11-26 17:29:58,144 - INFO - Starting Epoch 2, logging every 10 batches
2020-11-26 17:30:06,500 - INFO - Epoch: 2, Batch: 10, loss: 0.00842457078397274
2020-11-26 17:30:14,881 - INFO - Epoch: 2, Batch: 20, loss: 0.055221181362867355
2020-11-26 17:30:23,260 - INFO - Epoch: 2, Batch: 30, loss: 0.008017344400286674
2020-11-26 17:30:31,616 - INFO - Epoch: 2, Batch: 40, loss: 0.01182268001139164
2020-11-26 17:30:39,983 - INFO - Epoch: 2, Batch: 50, loss: 0.003961449488997459
2020-11-26 17:30:48,356 - INFO - Epoch: 2, Batch: 60, loss: 0.08737319707870483
2020-11-26 17:30:56,719 - INFO - Epoch: 2, Batch: 70, loss: 0.015340771526098251
2020-11-26 17:31:05,081 - INFO - Epoch: 2, Batch: 80, loss: 0.0012750254245474935
2020-11-26 17:31:13,454 - INFO - Epoch: 2, Batch: 90, loss: 0.19854676723480225
2020-11-26 17:31:21,823 - INFO - Epoch: 2, Batch: 100, loss: 0.016878800466656685
2020-11-26 17:31:30,200 - INFO - Epoch: 2, Batch: 110, loss: 0.005199755541980267
2020-11-26 17:31:38,570 - INFO - Epoch: 2, Batch: 120, loss: 0.0031750404741615057
2020-11-26 17:31:46,949 - INFO - Epoch: 2, Batch: 130, loss: 0.002073689131066203
2020-11-26 17:31:55,318 - INFO - Epoch: 2, Batch: 140, loss: 0.027564814314246178
2020-11-26 17:32:03,691 - INFO - Epoch: 2, Batch: 150, loss: 0.02597590535879135
2020-11-26 17:32:12,060 - INFO - Epoch: 2, Batch: 160, loss: 0.042602598667144775
2020-11-26 17:32:20,421 - INFO - Epoch: 2, Batch: 170, loss: 0.008642099797725677
2020-11-26 17:32:28,791 - INFO - Epoch: 2, Batch: 180, loss: 0.0029183062724769115
2020-11-26 17:32:37,155 - INFO - Epoch: 2, Batch: 190, loss: 0.015254301950335503
2020-11-26 17:32:45,541 - INFO - Epoch: 2, Batch: 200, loss: 0.004212330561131239
2020-11-26 17:32:53,901 - INFO - Epoch: 2, Batch: 210, loss: 0.0011319065233692527
2020-11-26 17:33:02,287 - INFO - Epoch: 2, Batch: 220, loss: 0.20745410025119781
2020-11-26 17:33:10,665 - INFO - Epoch: 2, Batch: 230, loss: 0.02657366544008255
2020-11-26 17:33:19,038 - INFO - Epoch: 2, Batch: 240, loss: 0.003896022215485573
2020-11-26 17:33:27,419 - INFO - Epoch: 2, Batch: 250, loss: 0.00041171888005919755
2020-11-26 17:33:35,779 - INFO - Epoch: 2, Batch: 260, loss: 0.0003941162722185254
2020-11-26 17:33:44,140 - INFO - Epoch: 2, Batch: 270, loss: 0.0015896600671112537
2020-11-26 17:33:52,517 - INFO - Epoch: 2, Batch: 280, loss: 0.02025505155324936
2020-11-26 17:34:00,905 - INFO - Epoch: 2, Batch: 290, loss: 0.003385925432667136
2020-11-26 17:34:09,281 - INFO - Epoch: 2, Batch: 300, loss: 0.02246185950934887
2020-11-26 17:34:17,649 - INFO - Epoch: 2, Batch: 310, loss: 0.015447475016117096
2020-11-26 17:34:26,021 - INFO - Epoch: 2, Batch: 320, loss: 0.031068949028849602
2020-11-26 17:34:34,395 - INFO - Epoch: 2, Batch: 330, loss: 0.008221687749028206
2020-11-26 17:34:42,773 - INFO - Epoch: 2, Batch: 340, loss: 0.001274024834856391
2020-11-26 17:34:45,579 - INFO - Completed 2 epochs.
2020-11-26 17:34:47,189 - INFO - Saved model in file saved_model_epoch2_20201126_1725.tar
2020-11-26 17:34:47,189 - INFO - Starting Epoch 3, logging every 10 batches
2020-11-26 17:34:55,555 - INFO - Epoch: 3, Batch: 10, loss: 0.14128558337688446
